symbol,result_date,result_session,marked_high,observation_start,entry1_time,entry1_price,qty1,entry2_time,entry2_price,qty2,avg_price,sl_price,tp_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,days_held
IIFL,2026-01-22,2026-01-22,637.0,2026-01-23,2026-01-23 09:15,550.0,90,,0.0,0,550.0,495.0,632.5,2026-02-01 12:29,495.0,SL,-4950.0,-10.0,9
CRAFTSMAN,2026-01-28,2026-01-28,7930.0,2026-01-29,2026-01-29 09:15,7780.0,6,,0.0,0,7780.0,7002.0,8947.0,2026-03-13 09:43,7002.0,SL,-4668.0,-10.0,43
POONAWALLA,2026-01-16,2026-01-16,482.0,2026-01-19,2026-01-19 09:15,476.5,104,,0.0,0,476.5,428.85,547.97,2026-01-23 10:18,428.85,SL,-4955.6,-10.0,4
ENGINERSIN,2026-02-12,2026-02-12,185.19,2026-02-13,2026-03-13 15:18,185.19,269,2026-04-06 14:02,203.71,245,194.02,174.62,223.12,2026-04-16 10:30,223.12,TP,14958.72,15.0,34
AARTIIND,2026-02-02,2026-02-02,375.1,2026-02-03,,0.0,0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
NAVINFLUOR,2026-02-09,2026-02-09,6634.5,2026-02-10,2026-02-10 09:46,6634.5,7,,0.0,0,6634.5,5971.05,7629.67,2026-03-02 09:15,5960.0,SL,-4721.5,-10.167,20
SYRMA,2026-01-29,2026-01-29,736.1,2026-01-30,2026-02-01 12:31,736.1,67,2026-02-03 09:15,850.0,58,788.95,710.05,907.29,2026-03-09 09:19,710.05,SL,-9861.87,-10.0,36
CHOICEIN,2026-02-03,2026-02-03,788.0,2026-02-04,2026-02-04 09:17,788.0,63,,0.0,0,788.0,709.2,906.2,2026-03-02 12:52,709.2,SL,-4964.4,-10.0,26
SAILIFE,2026-02-05,2026-02-05,815.0,2026-02-06,,0.0,0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
RRKABEL,2026-01-31,2026-01-30,1382.0,2026-02-01,2026-02-01 09:15,1380.0,36,2026-02-25 09:15,1519.0,32,1445.41,1300.87,1662.22,2026-03-30 09:15,1300.0,SL,-9888.0,-10.06,57
ECLERX,2026-01-28,2026-01-28,2258.5,2026-01-29,2026-01-29 09:15,2211.0,22,2026-02-03 09:15,2494.0,20,2345.76,2111.19,2697.63,2026-02-06 14:19,2111.19,SL,-9852.2,-10.0,8
TARIL,2026-01-08,2026-01-08,326.6,2026-01-09,2026-01-09 09:15,299.5,166,,0.0,0,299.5,269.55,344.42,2026-01-12 09:15,269.55,SL,-4971.7,-10.0,3
