symbol,result_date,result_session,marked_high,observation_start,entry1_time,entry1_price,qty1,entry2_time,entry2_price,qty2,avg_price,sl_price,tp_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,days_held
IIFL,2026-01-22,2026-01-22,637.0,2026-01-23,2026-01-23 09:15,550.0,90,2026-02-01 12:29,495.0,101,520.92,0.0,573.01,2026-06-25 15:29,509.1,OPEN,-2256.9,-2.268,153
CRAFTSMAN,2026-01-28,2026-01-28,7930.0,2026-01-29,2026-01-29 09:15,7780.0,6,2026-03-13 09:43,7002.0,7,7361.08,0.0,8097.18,2026-05-07 12:17,8097.18,TP,9569.4,10.0,98
POONAWALLA,2026-01-16,2026-01-16,482.0,2026-01-19,2026-01-19 09:15,476.5,104,2026-01-23 10:18,428.85,116,451.38,0.0,496.51,2026-02-11 11:03,496.51,TP,9930.26,10.0,23
ENGINERSIN,2026-02-12,2026-02-12,185.19,2026-02-13,2026-03-13 15:18,185.19,269,,0.0,0,185.19,0.0,203.71,2026-04-06 14:02,203.71,TP,4981.61,10.0,24
AARTIIND,2026-02-02,2026-02-02,375.1,2026-02-03,,0.0,0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
NAVINFLUOR,2026-02-09,2026-02-09,6634.5,2026-02-10,2026-02-10 09:46,6634.5,7,2026-03-02 09:15,5960.0,8,6274.77,0.0,6902.24,2026-04-30 09:15,7050.0,TP,11628.5,12.355,79
SYRMA,2026-01-29,2026-01-29,736.1,2026-01-30,2026-02-01 12:31,736.1,67,,0.0,0,736.1,0.0,809.71,2026-02-03 09:15,850.0,TP,7631.3,15.473,2
CHOICEIN,2026-02-03,2026-02-03,788.0,2026-02-04,2026-02-04 09:17,788.0,63,2026-03-02 12:52,709.2,70,746.53,0.0,821.18,2026-06-25 15:29,723.0,OPEN,-3129.0,-3.151,141
SAILIFE,2026-02-05,2026-02-05,815.0,2026-02-06,,0.0,0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
RRKABEL,2026-01-31,2026-01-30,1382.0,2026-02-01,2026-02-01 09:15,1380.0,36,,0.0,0,1380.0,0.0,1518.0,2026-02-25 09:15,1519.0,TP,5004.0,10.072,24
ECLERX,2026-01-28,2026-01-28,2258.5,2026-01-29,2026-01-29 09:15,2211.0,22,,0.0,0,2211.0,0.0,2432.1,2026-02-03 09:15,2494.0,TP,6226.0,12.8,5
TARIL,2026-01-08,2026-01-08,326.6,2026-01-09,2026-01-09 09:15,299.5,166,2026-01-12 09:15,269.55,185,283.71,0.0,312.09,2026-02-19 09:23,312.09,TP,9958.38,10.0,41
