symbol,result_date,result_session,marked_high,observation_start,entry1_time,entry1_price,qty1,entry2_time,entry2_price,qty2,avg_price,sl_price,tp_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,days_held
IIFL,2026-01-22,2026-01-22,637.0,2026-01-23,2026-01-23 09:15,550.0,90,2026-03-30 09:15,440.0,113,488.77,0.0,488.77,2026-04-07 15:29,428.0,TIME,-12336.0,-12.433,74
CRAFTSMAN,2026-01-28,2026-01-28,7930.0,2026-01-29,2026-01-29 09:15,7780.0,6,,0.0,0,7780.0,0.0,8947.0,2026-04-13 15:29,7385.0,TIME,-2370.0,-5.077,74
POONAWALLA,2026-01-16,2026-01-16,482.0,2026-01-19,2026-01-19 09:15,476.5,104,2026-02-01 12:29,381.2,131,423.38,0.0,423.38,2026-02-06 14:41,423.38,TP,0.0,0.0,18
ENGINERSIN,2026-02-12,2026-02-12,185.19,2026-02-13,2026-03-13 15:18,185.19,269,,0.0,0,185.19,0.0,212.97,2026-04-10 09:16,213.1,TP,7507.79,15.071,28
AARTIIND,2026-02-02,2026-02-02,375.1,2026-02-03,,0.0,0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
NAVINFLUOR,2026-02-09,2026-02-09,6634.5,2026-02-10,2026-02-10 09:46,6634.5,7,,0.0,0,6634.5,0.0,7629.67,2026-04-24 15:29,6473.0,TIME,-1130.5,-2.434,73
SYRMA,2026-01-29,2026-01-29,736.1,2026-01-30,2026-02-01 12:31,736.1,67,,0.0,0,736.1,0.0,846.51,2026-02-03 09:15,850.0,TP,7631.3,15.473,2
CHOICEIN,2026-02-03,2026-02-03,788.0,2026-02-04,2026-02-04 09:17,788.0,63,2026-03-13 13:46,630.05,79,700.13,0.0,700.13,2026-04-10 09:28,700.13,TP,-0.0,-0.0,65
SAILIFE,2026-02-05,2026-02-05,815.0,2026-02-06,,0.0,0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
RRKABEL,2026-01-31,2026-01-30,1382.0,2026-02-01,2026-02-01 09:15,1380.0,36,,0.0,0,1380.0,0.0,1587.0,2026-04-16 15:29,1460.0,TIME,2880.0,5.797,74
ECLERX,2026-01-28,2026-01-28,2258.5,2026-01-29,2026-01-29 09:15,2211.0,22,2026-02-20 13:10,1768.8,28,1963.37,0.0,1963.37,2026-04-13 15:29,1450.0,TIME,-25668.4,-26.147,74
TARIL,2026-01-08,2026-01-08,326.6,2026-01-09,2026-01-09 09:15,299.5,166,2026-01-21 10:55,239.6,208,266.19,0.0,266.19,2026-02-09 10:26,266.19,TP,-0.0,-0.0,31
